age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
All Ages, Self-emp-not-inc,209642,Compulsory School,9,Married, Exec-managerial, Husband,Western Origin, Male,0,0,45, United-States, >50K
All Ages, Private,45781,Advanced Degree,14,Not-Married, Prof-specialty, Not-in-family,Western Origin, Female,14084,0,50, United-States, >50K
All Ages, Private,159449,Basic Degree,13,Married, Exec-managerial, Husband,Western Origin, Male,5178,0,40, United-States, >50K
All Ages, Private,280464,Basic Degree,10,Married, Exec-managerial, Husband,Western Origin, Male,0,0,80, United-States, >50K
All Ages, State-gov,141297,Basic Degree,13,Married, Prof-specialty, Husband,Non-Western Origin, Male,0,0,40, India, >50K
All Ages, Private,121772,Basic Degree,11,Married, Craft-repair, Husband,Non-Western Origin, Male,0,0,40,, >50K
All Ages, Self-emp-not-inc,292175,Advanced Degree,14,Not-Married, Exec-managerial, Unmarried,Western Origin, Female,0,0,45, United-States, >50K
All Ages, Private,193524,Advanced Degree,16,Married, Prof-specialty, Husband,Western Origin, Male,0,0,60, United-States, >50K
All Ages, Local-gov,216851,Basic Degree,13,Married, Tech-support, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages,,180211,Basic Degree,10,Married,, Husband,Non-Western Origin, Male,0,0,60, South, >50K
All Ages, Private,84154,Basic Degree,10,Married, Sales, Husband,Western Origin, Male,0,0,38,, >50K
All Ages, Federal-gov,337895,Basic Degree,13,Married, Prof-specialty, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,51835,Basic Degree,15,Married, Prof-specialty, Wife,Western Origin, Female,0,1902,60, Honduras, >50K
All Ages, Federal-gov,251585,Basic Degree,13,Not-Married, Exec-managerial, Not-in-family,Western Origin, Male,0,0,55, United-States, >50K
All Ages, Private,237993,Basic Degree,10,Married, Tech-support, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,116632,Advanced Degree,16,Married, Prof-specialty, Husband,Western Origin, Male,0,0,45, United-States, >50K
All Ages, Private,169846,Compulsory School,9,Married, Adm-clerical, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Self-emp-inc,191681,Basic Degree,10,Married, Exec-managerial, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Self-emp-not-inc,162298,Basic Degree,13,Married, Sales, Husband,Western Origin, Male,0,0,70, United-States, >50K
All Ages, Private,343591,Compulsory School,9,Not-Married, Craft-repair, Not-in-family,Western Origin, Female,14344,0,40, United-States, >50K
All Ages, Local-gov,268234,Compulsory School,9,Married, Protective-serv, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Federal-gov,410867,Advanced Degree,16,Not-Married, Prof-specialty, Not-in-family,Western Origin, Female,0,0,50, United-States, >50K
All Ages, Local-gov,226296,Basic Degree,13,Married, Protective-serv, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Self-emp-not-inc,191277,Advanced Degree,16,Married, Prof-specialty, Husband,Western Origin, Male,0,1902,60, United-States, >50K
All Ages, Private,202683,Basic Degree,10,Married, Sales, Husband,Western Origin, Male,0,0,48, United-States, >50K
All Ages, Private,124191,Advanced Degree,14,Married, Exec-managerial, Husband,Western Origin, Male,0,0,40, United-States, >50K
