age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
All Ages, Self-emp-not-inc,209642,Education,9,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,45, United-States, >50K
All Ages, Private,45781,Education,14,Single, Prof-specialty, Not-in-family,Western Origin, Female,14084,0,50, United-States, >50K
All Ages, Private,159449,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,5178,0,40, United-States, >50K
All Ages, Private,280464,Education,10,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,80, United-States, >50K
All Ages, State-gov,141297,Education,13,Education, Prof-specialty, Husband,Non-Western Origin, Male,0,0,40, India, >50K
All Ages, Private,121772,Education,11,Education, Craft-repair, Husband,Non-Western Origin, Male,0,0,40,, >50K
All Ages, Self-emp-not-inc,292175,Education,14,Single, Exec-managerial, Unmarried,Western Origin, Female,0,0,45, United-States, >50K
All Ages, Private,193524,Education,16,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,60, United-States, >50K
All Ages, Local-gov,216851,Education,13,Married-Together, Tech-support, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages,,180211,Education,10,Education,Unknown, Husband,Non-Western Origin, Male,0,0,60, South, >50K
All Ages, Private,84154,Education,10,Married-Together, Sales, Husband,Western Origin, Male,0,0,38,, >50K
All Ages, Federal-gov,337895,Education,13,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,51835,Education,15,Married-Together, Prof-specialty, Wife,Western Origin, Female,0,1902,60, Honduras, >50K
All Ages, Federal-gov,251585,Education,13,Single, Exec-managerial, Not-in-family,Western Origin, Male,0,0,55, United-States, >50K
All Ages, Private,237993,Education,10,Married-Together, Tech-support, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,116632,Education,16,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,45, United-States, >50K
All Ages, Private,169846,Education,9,Married-Together, Adm-clerical, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Self-emp-inc,191681,Education,10,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Self-emp-not-inc,162298,Education,13,Married-Together, Sales, Husband,Western Origin, Male,0,0,70, United-States, >50K
All Ages, Private,343591,Education,9,Single, Craft-repair, Not-in-family,Western Origin, Female,14344,0,40, United-States, >50K
All Ages, Local-gov,268234,Education,9,Married-Together, Protective-serv, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Federal-gov,410867,Education,16,Single, Prof-specialty, Not-in-family,Western Origin, Female,0,0,50, United-States, >50K
All Ages, Local-gov,226296,Education,13,Married-Together, Protective-serv, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Self-emp-not-inc,191277,Education,16,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,1902,60, United-States, >50K
All Ages, Private,202683,Education,10,Married-Together, Sales, Husband,Western Origin, Male,0,0,48, United-States, >50K
All Ages, Private,124191,Education,14,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,198282,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,15024,0,60, United-States, >50K
All Ages, Self-emp-inc,317660,Education,9,Married-Together, Craft-repair, Husband,Western Origin, Male,7688,0,40, United-States, >50K
All Ages, Private,65324,Education,15,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Self-emp-not-inc,335605,Education,9,Married-Together, Other-service, Husband,Western Origin, Male,0,1887,50, Canada, >50K
All Ages, Local-gov,197371,Education,11,Married-Together, Craft-repair, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, State-gov,267989,Education,13,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Private,287828,Education,13,Married-Together, Exec-managerial, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Private,114937,Education,12,Married-Together, Adm-clerical, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Federal-gov,125933,Education,14,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,40, Iran, >50K
All Ages, Private,81973,Education,10,Education, Craft-repair, Husband,Non-Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,196584,Education,11,Single, Prof-specialty, Not-in-family,Western Origin, Female,0,1564,40, United-States, >50K
All Ages,,252903,Education,9,Single,Unknown, Not-in-family,Western Origin, Male,0,0,45, United-States, >50K
All Ages, Self-emp-not-inc,201080,Education,14,Married-Together, Sales, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,96062,Education,10,Married-Together, Sales, Husband,Western Origin, Male,0,1977,40, United-States, >50K
All Ages, State-gov,149624,Education,13,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Local-gov,181344,Education,10,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,38, United-States, >50K
All Ages, Private,286370,Education,4,Married-Together, Machine-op-inspct, Husband,Western Origin, Male,0,0,40, Mexico, >50K
All Ages, Federal-gov,29054,Education,10,Married-Together, Adm-clerical, Husband,Western Origin, Male,0,0,42, United-States, >50K
All Ages, State-gov,109567,Education,16,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,1, United-States, >50K
All Ages, Federal-gov,56795,Education,14,Single, Exec-managerial, Not-in-family,Western Origin, Female,14084,0,55, United-States, >50K
All Ages, Private,138992,Education,14,Married-Together, Prof-specialty, Other-relative,Western Origin, Male,7298,0,40, United-States, >50K
All Ages, Private,259323,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Private,128757,Education,13,Married-Together, Other-service, Husband,Western Origin, Male,7298,0,36, United-States, >50K
All Ages, Self-emp-inc,210563,Education,9,Married-Together, Sales, Wife,Western Origin, Female,15024,0,35, United-States, >50K
All Ages, Private,208358,Education,9,Married-Together, Craft-repair, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Self-emp-inc,125417,Education,4,Married-Together, Machine-op-inspct, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,635913,Education,13,Single, Exec-managerial, Not-in-family,Western Origin, Male,0,0,60, United-States, >50K
All Ages, Private,76714,Education,15,Single, Prof-specialty, Not-in-family,Western Origin, Male,0,0,55, United-States, >50K
All Ages, Private,180138,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,50, Iran, >50K
All Ages, Local-gov,115076,Education,14,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,70, United-States, >50K
All Ages, Private,347890,Education,13,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,236596,Education,9,Married-Together, Adm-clerical, Husband,Western Origin, Male,0,0,45, United-States, >50K
All Ages, Private,207578,Education,12,Married-Together, Tech-support, Husband,Western Origin, Male,0,1977,60, United-States, >50K
All Ages, Private,112763,Education,15,Married-Together, Prof-specialty, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Self-emp-not-inc,303044,Education,9,Education, Farming-fishing, Husband,Non-Western Origin, Male,0,0,40, Cambodia, >50K
All Ages, Self-emp-inc,257295,Education,10,Education, Exec-managerial, Husband,Non-Western Origin, Male,0,0,75, Thailand, >50K
All Ages, Private,21174,Education,9,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,222205,Education,9,Married-Together, Craft-repair, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Private,69867,Education,9,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,170924,Education,10,Married-Together, Craft-repair, Husband,Western Origin, Male,7298,0,40, United-States, >50K
All Ages, Private,279472,Education,10,Married-Together, Machine-op-inspct, Wife,Western Origin, Female,7298,0,48, United-States, >50K
All Ages, Local-gov,97688,Education,10,Married-Together, Craft-repair, Husband,Western Origin, Male,5178,0,40, United-States, >50K
All Ages, Federal-gov,425161,Education,14,Married-Together, Sales, Husband,Western Origin, Male,15024,0,40, United-States, >50K
All Ages, Private,220531,Education,15,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,60, United-States, >50K
All Ages, Private,146268,Education,13,Married-Together, Adm-clerical, Husband,Western Origin, Male,7688,0,40, United-States, >50K
All Ages, Private,217460,Education,9,Married-Together, Transport-moving, Husband,Western Origin, Male,0,0,45, United-States, >50K
All Ages, Private,238638,Education,9,Married-Together, Sales, Husband,Western Origin, Male,4386,0,40, United-States, >50K
All Ages, Private,193815,Education,12,Married-Together, Adm-clerical, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Self-emp-inc,34987,Education,10,Married-Together, Farming-fishing, Husband,Western Origin, Male,0,0,54, United-States, >50K
All Ages, Private,142897,Education,14,Education, Exec-managerial, Husband,Non-Western Origin, Male,7298,0,35, Taiwan, >50K
All Ages, Self-emp-not-inc,205607,Education,13,Single, Prof-specialty, Not-in-family,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Private,187728,Education,10,Married-Together, Prof-specialty, Wife,Western Origin, Female,0,1887,50, United-States, >50K
All Ages, Private,296478,Education,11,Married-Together, Craft-repair, Husband,Western Origin, Male,7298,0,40, United-States, >50K
All Ages, State-gov,119272,Education,9,Married-Together, Protective-serv, Husband,Western Origin, Male,7298,0,40, United-States, >50K
All Ages, Private,117963,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,111363,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages,,372020,Education,13,Married-Together,Unknown, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Federal-gov,95432,Education,9,Married-Together, Adm-clerical, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,96129,Education,11,Married-Together, Tech-support, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,270092,Education,14,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,174575,Education,13,Single, Exec-managerial, Not-in-family,Western Origin, Male,0,1564,45, United-States, >50K
All Ages, Private,212448,Education,13,Single, Exec-managerial, Not-in-family,Western Origin, Female,0,0,45, United-States, >50K
All Ages, State-gov,184018,Education,11,Married-Together, Machine-op-inspct, Husband,Western Origin, Male,0,0,38, United-States, >50K
All Ages, Private,162028,Education,10,Married-Together, Adm-clerical, Wife,Western Origin, Female,0,2415,6, United-States, >50K
All Ages, Private,220098,Education,9,Married-Together, Other-service, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, State-gov,98101,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,7688,0,45,, >50K
All Ages, Private,86872,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,55, United-States, >50K
All Ages, Self-emp-inc,132178,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, State-gov,288353,Education,13,Married-Together, Protective-serv, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,445382,Education,14,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,1977,65, United-States, >50K
All Ages,,123147,Education,10,Married-Together,Unknown, Wife,Western Origin, Female,0,1887,40, United-States, >50K
All Ages, Private,188386,Education,16,Married-Together, Exec-managerial, Husband,Western Origin, Male,15024,0,60, United-States, >50K
All Ages, Private,92440,Education,8,Single, Craft-repair, Not-in-family,Western Origin, Male,0,0,50, United-States, >50K
All Ages, State-gov,92003,Education,13,Married-Together, Exec-managerial, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Self-emp-inc,222289,Education,9,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,29662,Education,12,Married-Together, Other-service, Wife,Western Origin, Female,0,0,25, United-States, >50K
All Ages, Private,208405,Education,14,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Private,116632,Education,10,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Self-emp-inc,197332,Education,10,Married-Together, Craft-repair, Husband,Western Origin, Male,0,0,55, United-States, >50K
All Ages, Private,245062,Education,9,Married-Together, Craft-repair, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,197583,Education,12,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,40,, >50K
All Ages, Self-emp-not-inc,234885,Education,9,Married-Together, Sales, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Private,72887,Education,11,Education, Machine-op-inspct, Husband,Non-Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,192776,Education,14,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,1977,45, United-States, >50K
All Ages, Private,118551,Education,13,Married-Together, Tech-support, Wife,Western Origin, Female,0,0,16, United-States, >50K
All Ages, Private,201965,Education,10,Single, Prof-specialty, Unmarried,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,91039,Education,13,Married-Together, Sales, Husband,Western Origin, Male,15024,0,60, United-States, >50K
All Ages, Private,337587,Education,10,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Private,108116,Education,13,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Self-emp-inc,99146,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,15024,0,80, United-States, >50K
All Ages, Private,196232,Education,9,Married-Together, Exec-managerial, Husband,Western Origin, Male,7688,0,50, United-States, >50K
All Ages, Local-gov,186035,Education,10,Married-Together, Tech-support, Husband,Western Origin, Male,0,0,45, United-States, >50K
All Ages, Private,177905,Education,10,Single, Machine-op-inspct, Unmarried,Western Origin, Male,0,0,58, United-States, >50K
All Ages, Private,221172,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,101739,Education,12,Married-Together, Exec-managerial, Wife,Western Origin, Female,0,0,50, United-States, >50K
All Ages, Private,231559,Education,15,Married-Together, Prof-specialty, Husband,Western Origin, Male,20051,0,48, United-States, >50K
All Ages, Federal-gov,319560,Education,11,Single, Craft-repair, Unmarried,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Private,212960,Education,13,Married-Together, Sales, Husband,Western Origin, Male,0,0,35, United-States, >50K
All Ages, Private,264052,Education,10,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Self-emp-not-inc,334273,Education,13,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,60, United-States, >50K
All Ages, Private,22463,Education,11,Married-Together, Craft-repair, Husband,Western Origin, Male,0,1977,40, United-States, >50K
All Ages, Private,350162,Education,13,Married-Together, Exec-managerial, Wife,Western Origin, Male,0,0,40, United-States, >50K
All Ages,,195733,Education,10,Married-Together,Unknown, Husband,Western Origin, Male,0,0,30, United-States, >50K
All Ages, Private,69884,Education,9,Married-Together, Sales, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,25826,Education,6,Married-Together, Craft-repair, Husband,Western Origin, Male,0,1887,47, United-States, >50K
All Ages, Private,39352,Education,4,Single, Transport-moving, Not-in-family,Western Origin, Male,0,0,48, United-States, >50K
All Ages, Private,168387,Education,13,Married-Together, Prof-specialty, Husband,Western Origin, Male,7688,0,40, Canada, >50K
All Ages, Self-emp-not-inc,214242,Education,15,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,1902,50, United-States, >50K
All Ages, Private,410114,Education,14,Married-Together, Craft-repair, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,102388,Education,15,Married-Together, Prof-specialty, Husband,Western Origin, Male,15024,0,45, United-States, >50K
All Ages, Private,153614,Education,9,Married-Together, Sales, Husband,Western Origin, Male,0,0,45, United-States, >50K
All Ages, Private,205469,Education,10,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,268090,Education,13,Married-Together, Sales, Husband,Western Origin, Male,0,0,26, United-States, >50K
All Ages, Private,154374,Education,10,Married-Together, Craft-repair, Husband,Western Origin, Male,15024,0,60, United-States, >50K
All Ages, Private,103649,Education,13,Married-Together, Adm-clerical, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Private,175697,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,15024,0,60, United-States, >50K
All Ages, Self-emp-not-inc,289436,Education,16,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,60, United-States, >50K
All Ages, Private,188563,Education,10,Married-Together, Sales, Husband,Western Origin, Male,5178,0,50, United-States, >50K
All Ages, Self-emp-inc,195322,Education,16,Separated-Married, Prof-specialty, Not-in-family,Western Origin, Male,0,0,40, United-States, >50K
All Ages, State-gov,169496,Education,13,Married-Together, Tech-support, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,292472,Education,16,Education, Prof-specialty, Husband,Non-Western Origin, Male,0,0,40, Taiwan, >50K
All Ages, Private,174524,Education,9,Married-Together, Machine-op-inspct, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Self-emp-not-inc,335183,Education,8,Married-Together, Handlers-cleaners, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,341204,Education,12,Single, Prof-specialty, Unmarried,Western Origin, Female,8614,0,40, United-States, >50K
All Ages, Private,247019,Education,9,Married-Together, Craft-repair, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,182556,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Self-emp-inc,219420,Education,9,Married-Together, Sales, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Private,161141,Education,11,Married-Together, Craft-repair, Husband,Western Origin, Male,0,0,40, Portugal, >50K
All Ages, Self-emp-not-inc,190290,Education,9,Married-Together, Craft-repair, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,203628,Education,14,Single, Prof-specialty, Not-in-family,Western Origin, Male,0,0,60, United-States, >50K
All Ages, Private,118710,Education,14,Married-Together, Tech-support, Husband,Western Origin, Male,0,1902,40, United-States, >50K
All Ages, Private,295566,Education,16,Single, Prof-specialty, Unmarried,Western Origin, Female,25236,0,65, United-States, >50K
All Ages, Private,63042,Education,13,Single, Exec-managerial, Own-child,Western Origin, Female,0,0,50, United-States, >50K
All Ages, Private,217460,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,45, United-States, >50K
All Ages, Local-gov,50459,Education,9,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,42, United-States, >50K
All Ages, Private,162140,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,7298,0,45, United-States, >50K
All Ages, Private,177937,Education,13,Single, Prof-specialty, Not-in-family,Western Origin, Male,0,0,40,, >50K
All Ages, Self-emp-not-inc,118474,Education,7,Married-Together, Exec-managerial, Husband,Western Origin, Male,9386,0,59,, >50K
All Ages, Private,279914,Education,13,Married-Together, Tech-support, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,151408,Education,14,Single, Exec-managerial, Not-in-family,Western Origin, Female,14084,0,50, United-States, >50K
All Ages, Local-gov,126319,Education,13,Married-Together, Prof-specialty, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Private,197422,Education,9,Married-Together, Transport-moving, Husband,Western Origin, Male,7688,0,40, United-States, >50K
All Ages, State-gov,356089,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,7688,0,40, United-States, >50K
All Ages, Private,285854,Education,9,Married-Together, Transport-moving, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Federal-gov,167381,Education,9,Married-Together, Adm-clerical, Wife,Western Origin, Female,0,0,40, United-States, >50K
All Ages, Local-gov,420537,Education,9,Married-Together, Adm-clerical, Wife,Western Origin, Female,0,0,38, United-States, >50K
All Ages, Self-emp-inc,128272,Education,16,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,70, United-States, >50K
All Ages, Private,386773,Education,13,Single, Sales, Not-in-family,Western Origin, Male,0,0,55, United-States, >50K
All Ages, Private,280282,Education,11,Married-Together, Tech-support, Wife,Western Origin, Female,0,0,24, United-States, >50K
All Ages, Private,226902,Education,13,Married-Together, Sales, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Private,130760,Education,11,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Private,237601,Education,13,Education, Sales, Not-in-family,Non-Western Origin, Female,0,0,55, United-States, >50K
All Ages, Private,102102,Education,11,Married-Together, Tech-support, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Private,31577,Education,9,Married-Together, Transport-moving, Husband,Western Origin, Male,0,0,60, United-States, >50K
All Ages, Private,90758,Education,14,Single, Tech-support, Not-in-family,Western Origin, Male,0,0,35, United-States, >50K
All Ages, Private,274363,Education,13,Married-Together, Exec-managerial, Husband,Western Origin, Male,0,1902,40, England, >50K
All Ages, Private,231043,Education,9,Married-Together, Craft-repair, Husband,Western Origin, Male,5178,0,48, United-States, >50K
All Ages, Private,169879,Education,13,Married-Together, Prof-specialty, Husband,Western Origin, Male,3103,0,47, United-States, >50K
All Ages, Private,270333,Education,13,Married-Together, Prof-specialty, Husband,Western Origin, Male,0,0,40, United-States, >50K
All Ages, Private,186556,Education,10,Married-Together, Craft-repair, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Private,191277,Education,9,Married-Together, Transport-moving, Husband,Western Origin, Male,0,0,50, United-States, >50K
All Ages, Private,34269,Education,9,Single, Transport-moving, Unmarried,Western Origin, Male,0,653,42, United-States, >50K
