age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
All Ages, State-gov,77516,Undergraduate School,13,Not-Married, Adm-clerical, Not-in-family,Western Origin, Male,2174,0,40, United-States, <=50K
All Ages, Self-emp-not-inc,83311,Undergraduate School,13,Married, Exec-managerial, Husband,Western Origin, Male,0,0,13, United-States, <=50K
All Ages, Private,215646,High School,9,Not-Married, Handlers-cleaners, Not-in-family,Western Origin, Male,0,0,40, United-States, <=50K
All Ages, Private,234721,High School,7,Married, Handlers-cleaners, Husband,Western Origin, Male,0,0,40, United-States, <=50K
All Ages, Private,338409,Undergraduate School,13,Married, Prof-specialty, Wife,Western Origin, Female,0,0,40, Cuba, <=50K
All Ages, Private,284582,Graduate School,14,Married, Exec-managerial, Wife,Western Origin, Female,0,0,40, United-States, <=50K
All Ages, Private,160187,Middle School,5,Married, Other-service, Not-in-family,Western Origin, Female,0,0,16, Jamaica, <=50K
All Ages, Private,122272,Undergraduate School,13,Not-Married, Adm-clerical, Own-child,Western Origin, Female,0,0,30, United-States, <=50K
All Ages, Private,205019,Undergraduate School,12,Not-Married, Sales, Not-in-family,Western Origin, Male,0,0,50, United-States, <=50K
All Ages, Private,245487,Middle School,4,Married, Transport-moving, Husband,Non-Western Origin, Male,0,0,45, Mexico, <=50K
All Ages, Self-emp-not-inc,176756,High School,9,Not-Married, Farming-fishing, Own-child,Western Origin, Male,0,0,35, United-States, <=50K
All Ages, Private,186824,High School,9,Not-Married, Machine-op-inspct, Unmarried,Western Origin, Male,0,0,40, United-States, <=50K
All Ages, Private,28887,High School,7,Married, Sales, Husband,Western Origin, Male,0,0,50, United-States, <=50K
All Ages, Private,302146,High School,9,Married, Other-service, Unmarried,Western Origin, Female,0,0,20, United-States, <=50K
All Ages, Federal-gov,76845,Middle School,5,Married, Farming-fishing, Husband,Western Origin, Male,0,0,40, United-States, <=50K
All Ages, Private,117037,High School,7,Married, Transport-moving, Husband,Western Origin, Male,0,2042,40, United-States, <=50K
All Ages, Private,109015,High School,9,Not-Married, Tech-support, Unmarried,Western Origin, Female,0,0,40, United-States, <=50K
All Ages, Private,168294,High School,9,Not-Married, Craft-repair, Own-child,Western Origin, Male,0,0,40, United-States, <=50K
All Ages, Private,367260,High School,9,Not-Married, Exec-managerial, Not-in-family,Western Origin, Male,0,0,80, United-States, <=50K
All Ages, Private,193366,High School,9,Married, Craft-repair, Husband,Western Origin, Male,0,0,40, United-States, <=50K
All Ages, Local-gov,190709,Undergraduate School,12,Not-Married, Protective-serv, Not-in-family,Western Origin, Male,0,0,52, United-States, <=50K
All Ages, Private,266015,Vocational School,10,Not-Married, Sales, Own-child,Western Origin, Male,0,0,44, United-States, <=50K
All Ages, Private,386940,Undergraduate School,13,Not-Married, Exec-managerial, Own-child,Western Origin, Male,0,1408,40, United-States, <=50K
All Ages, Federal-gov,59951,Vocational School,10,Married, Adm-clerical, Own-child,Western Origin, Male,0,0,40, United-States, <=50K
All Ages, State-gov,311512,Vocational School,10,Married, Other-service, Husband,Western Origin, Male,0,0,15, United-States, <=50K
All Ages, Private,242406,High School,7,Not-Married, Machine-op-inspct, Unmarried,Western Origin, Male,0,0,40, Puerto-Rico, <=50K
All Ages, Private,197200,Vocational School,10,Not-Married, Machine-op-inspct, Own-child,Western Origin, Male,0,0,40, United-States, <=50K
All Ages, Private,544091,High School,9,Married, Adm-clerical, Wife,Western Origin, Female,0,0,25, United-States, <=50K
